type_id,unit_id,scale,dscr
1,1,1,"Meter"
1,2,1000,"Kilometer"
1,3,0.305,"Foot"
1,4,1609.344,"Mile"
1,5,0.9144,"Yard"
1,6,0.0254,"inch"
1,7,4828.032,"League"
1,8,201.16,"Furlong"
1,9,20.1168,"Chain"

2,1,1,"Gram"
2,2,1000,"Kilogram"
2,3,1000000,"Tonne"
2,4,100000,"Centener"
2,5,0.2,"Carat"
2,6,453.59237,"Pound"
2,7,6350.29318,"Stone"
2,8,28.349523125,"Ounce"

4,1,1,"Pascal"
4,2,100000,"Pascal"
4,3,133.322,"mm HG"

5,1,1,"Nanosecond"
5,2,1000,"Microsecond"
5,3,1000000,"Millisecond"
5,4,1000000000,"Second"
5,5,60000000000,"Minute"
5,6,3600000000000,"Hour"
5,7,86400000000000,"Day"
